"","Local government","Garbage","Recyclables","Organics*","Glass","Diversion Rate","Waste and resource recovery group (WRRG)","URL"
"68","Wangaratta Rural City","Y","Y","Y",NA,"0.58427873813547027","North East","http://www.wangaratta.vic.gov.au/services/waste-services/"
"69","Warrnambool City","Y","Y","Y","Y","0.60402546724173345","Barwon South Western","http://www.warrnambool.vic.gov.au/waste-management"
"70","Wellington Shire","Y","Y",NA,NA,"0.32862622036262201","Gippsland","https://www.wellington.vic.gov.au/"
"71","West Wimmera Shire","Y","Y",NA,NA,"0.15893968373696829","Grampians Central West","http://www.westwimmera.vic.gov.au/waste-management"
"72","Whitehorse City","Y","Y","Y",NA,"0.51208307003910991","Metropolitan","https://www.whitehorse.vic.gov.au/"
"73","Whittlesea City","Y","Y","Y",NA,"0.38541949058145003","Metropolitan","https://www.whittlesea.vic.gov.au/waste-environment/waste-and-recycling-facilities/"
"74","Wodonga City","Y","Y","Y",NA,"0.69662115246861211","North East","http://www.wodonga.vic.gov.au/roads-rates-rubbish/recycling/recycling-centre.asp"
"75","Wyndham City","Y","Y","Y",NA,"0.35797876754995117","Metropolitan","https://www.wyndham.vic.gov.au/services/about-waste-and-recycling"
"76","Yarra City","Y","Y",NA,NA,"0.32867427272344546","Metropolitan","https://www.yarracity.vic.gov.au/services/recycling-and-rubbish"
"77","Yarra Ranges Shire","Y","Y","Y",NA,"0.49400432474936112","Metropolitan","http://www.yarraranges.vic.gov.au/Property/Rubbish-recycling"
"78","Yarriambiack Shire","Y","Y",NA,NA,"0.14991364421416234","Grampians Central West","https://yarriambiack.vic.gov.au/"
